"Sample","QueryID","SubjectID","Identity","Evalue","Bitscore","AlignmentLength","Coverage","Species","Mycotoxin","Cancer_Association","Mechanism","Evidence_Level","Relevance_Level","Confidence"
"HT07RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_18686","NG_055731",97.987,4.77e-68,259,149,146.00063,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_59539","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_7519","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_74393","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_84642","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_60868","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RB_L6.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_15133","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RB_L6.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_50707","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES04RB2.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_14737","NG_055731",97.959,6.07e-67,255,147,143.99973,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES04RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_20967","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_11020","NG_055731",97.959,6.22e-67,255,147,143.99973,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_16930","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_31111","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_54945","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_58605","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_38896","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT06RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_13122","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT06RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_29740","NG_055731",97.333,6.22e-67,255,150,145.9995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT07RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_10315","NG_055731",97.959,6.17e-67,255,147,143.99973,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT07RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_10478","NG_055731",97.959,6.07e-67,255,147,143.99973,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_28777","NG_055731",97.945,2.24e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_53731","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_27243","NG_055731",97.315,2.24e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_74392","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_89601","NG_055731",97.945,2.22e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_93131","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_18168","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_41748","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_54546","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_11082","NG_055731",97.315,2.24e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_60867","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_29772","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_54146","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_57594","NG_055731",97.945,2.22e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_59858","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_30971","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RB_L6.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_14401","NG_055731",97.945,2.24e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_32939","NG_055731",97.945,2.2e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES04RB2.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_9313","NG_055731",97.945,2.24e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_12966","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_26126","NG_055731",97.945,2.24e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_32619","NG_055731",97.945,2.24e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_60221","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_29648","NG_055731",97.315,2.24e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_44325","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_6212","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_16323","NG_055731",97.945,2.22e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_21467","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT04RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_2651","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT04RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_10581","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT04RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_11576","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT04RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_12276","NG_055731",97.945,2.22e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT04RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_26779","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT04RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_27467","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT04RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_19772","NG_055731",97.315,2.24e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT05RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_10679","NG_055731",97.945,2.17e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT06RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_16568","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT06RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_11840","NG_055731",97.945,2.24e-66,254,146,142.9997,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT07RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_11121","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT07RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_14055","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT09RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_9356","NG_055731",97.315,2.22e-66,254,149,144.99935,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_3194","NG_055731",97.297,8.05e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_29227","NG_055731",97.931,8.05e-66,252,145,141.99995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES01RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_69963","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_56157","NG_055731",97.297,8.05e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_45251","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_47976","NG_055731",97.297,7.98e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_19573","NG_055731",97.297,7.98e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_1691","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_5471","NG_055731",97.931,7.92e-66,252,145,141.99995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_21233","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_31438","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_32176","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_34454","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_42572","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES04RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_3633","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES04RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_5527","NG_055731",97.297,8.05e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_50969","NG_055731",97.931,8.05e-66,252,145,141.99995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_29726","NG_055731",97.931,8.05e-66,252,145,141.99995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT01RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_6298","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT01RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_5884","NG_055731",97.297,7.98e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT01RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_5885","NG_055731",97.297,8.05e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT02RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_4905","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT02RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_18755","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_2643","NG_055731",97.297,7.98e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT06RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_16567","NG_055731",97.297,7.98e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT06RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_5337","NG_055731",97.297,8.05e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT07RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_2783","NG_055731",97.297,7.92e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT07RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_8502","NG_055731",97.931,7.98e-66,252,145,141.99995,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT09RB.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_4334","NG_055731",97.297,8.05e-66,252,148,143.99956,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
